,제목,제공기관,설명,파일형태,수정일,제공형태
468,경기도 응급 의료기관 현황,자치행정기관,경기도내 응급 의료 정보센터 현황,CSV,2020-10-15,파일
469,보건복지부 정신건강관련 기관 현황,국가행정기관,"1. 정신요양 시설 및 입소자 수(지역, 시설수, 성별, 연령, 질환 명)",CSV,2020-10-14,파일
470,보건복지부 한방외래진료 이용율,국가행정기관,"o 외래환자의 한방진료 이용율

- 471개 한방의료기관(한방병원 171개, 한의원 300개)를 대상으로 면접조사한 결과
- 한방병원 입원환자, 한의원 및 한방병원 외래환자(5,507명)
- 한방의료이용 실태 / 한방의료에 대한 일반적 인식 조사",CSV,2020-10-14,파일
471,보건복지부 한방입원진료 이용율,국가행정기관,"o 입원환자의 한방병원 이용율

- 471개 한방의료기관(한방병원 171개, 한의원 300개)를 대상으로 면접조사한 결과
- 한방병원 입원환자, 한의원 및 한방병원 외래환자(5,507명)
- 한방의료이용 실태 / 한방의료에 대한 일반적 인식 조사",CSV,2020-10-14,파일
472,경상남도 창녕군 구급함 현황,자치행정기관,"창녕관내에서 취미활동(등산, 자전거 등) 중 위급상황 발생 시 주변에 있는 구급함을 이용하여 골든타임을 놓치지 않기 위함.",CSV,2020-10-14,파일
473,부산광역시 부산진구  병원의원현황,자치행정기관,"부산시 부산진구 관애에 위치한 병원, 의원, 동물병원의 상호명, 주소, 전화번호 정보",CSV,2020-10-14,파일
474,경기도 안양시 산후조리원 현황,자치행정기관,안양시 관내 산후조리원 현황,XLSX,2020-10-14,파일
475,경기도 안양시 예방접종 위탁의료기관 현황,자치행정기관,안양시 관내 예방접종 위탁 의료기관 현황,XLSX,2020-10-14,파일
476,경기도 안양시 만안구 소독의무대상시설 현황,자치행정기관,"안양시 만안구 관내 소독의무대상시설 현황(시설명, 소재지)",XLSX,2020-10-14,파일
477,경기도 안양시 동안구 소독의무대상시설 현황,자치행정기관,"안양시 동안구 관내 소독의무대상시설 현황(시설명, 소재지)",XLSX,2020-10-14,파일
478,경기도 안양시 만안구 치과기공소 현황,자치행정기관,"안양시 만안구 관내 치과기공소 현황(업소명, 소재지, 전화번호)",XLSX,2020-10-14,파일
479,부산광역시 연제구 이미용업현황,자치행정기관,"부산시 연제구 이미용업(업체명, 주소, 전화번호) 정보입니다",CSV,2020-10-14,파일
480,부산광역시 연제구 세탁업현황,자치행정기관,"부산시 연제구 세탁업체명, 주소, 전화번호 정보를 제공합니다.",CSV,2020-10-14,파일
481,부산광역시 연제구 공중위생업소관리현황,자치행정기관,"부산광역시 연제구 공중위생업소 관리 현황(구분, 업소명, 소재지, 전화번호)",CSV,2020-10-14,파일
482,국민건강보험공단 복지용구공급업체 정보검색,공공기관,"지역별, 취급품목별 공급업체명, 전화번호, 홈페이지, 주소 검색",CSV,2020-10-14,파일
483,경기도 안양시 동안구 치과기공소 현황,자치행정기관,"안양시 동안구 관내 치과기공소 현황(업소명, 소재지, 전화번호)",XLSX,2020-10-14,파일
484,국민건강보험공단 복지용구 품목별 이용현황,공공기관,월별 복지용구품목별 사용현황 및 품목별 사용인원 현황,CSV,2020-10-14,파일
485,국민건강보험공단 노인장기요양보험 급여비 지급 현황,공공기관,"장기요양급여비 총지급현황, 급여종별(시설 및 재가, 현금급여비) 지급현황 자료

*(단위) 건, 백만원","CSV,HWP",2020-10-14,파일
486,부산광역시 연제구 치과기공소현황,자치행정기관,"치과기공소 현황(인정일자,명칭,소재지)",CSV,2020-10-14,파일
487,부산광역시 연제구 특수의료장비공동활용병상현황,자치행정기관,"특수의료장비 공동활용병상 현황(의료기관명, 병상 수, 공동활용 병상 현황)",CSV,2020-10-13,파일
488,국민건강보험공단 보험료정산 현황,공공기관,"직장가입자 건강보험료 연말정산 처리 현황 자료 입니다.

*단위 : 천명, %
**처리수와 처리율은 기한내 연말정산 신고자 기준이며, 미신고자 중 3년 이내 신고한 가입자는 미포함됨",CSV,2020-10-13,파일
489,국민건강보험공단 의료급여 수급권자 진료현황,공공기관,"의료급여 수급권자의 진료형태(입원, 외래, 약국) 및 시도(예탁기관)별 진료인원, 총진료비, 입내원일수 등 진료현황 자료 제공","CSV,XLS,XLSX",2020-10-13,파일
490,국민건강보험공단 현금급여비(자가도뇨소모성재료) 지급 현황,공공기관,자가도뇨에 필요한 소모성재료비를 현금급여로 지원한 지급내역,CSV,2020-10-13,파일
491,서울특별시 구로구 실외흡연시설,자치행정기관,"구로구에 위치한 실외흡연시설 종류, 건물명, 도로명주소, 지번주소, 좌표(위도, 경도), 설치개수",CSV,2020-10-13,파일
492,국민건강보험공단 지역 부과자료관리,공공기관,지역가입자의 보험료 부과자료 현황,CSV,2020-10-13,파일
493,인천광역시 방역소독업체 현황,자치행정기관,"인천광역시 방역소독업체 현황(업소명, 사무실소재지, 연락처 등) 자료 입니다.",CSV,2020-10-13,파일
494,경상남도 약국 현황,자치행정기관,ㅇ 경남 도 내 18개 시군의 약국명 및 주소 등 현황을 제공하는 데이터입니다.,CSV,2020-10-13,파일
495,전라북도 완주군 의료기기판매업체 현황,자치행정기관,"완주군 의료용품, 재활장비, 건강측정용품 등 각종 의료기기판매업체 현황",CSV,2020-10-13,파일
496,대구광역시 서구 장례시설 현황,자치행정기관,"서구 관내 장례식장 현황(명칭, 주소, 전화번호)",CSV,2020-10-13,파일
497,한국보건산업진흥원 국가별 해외진출정보,공공기관,의료기관 해외진출 정보 및 해외진출 가이드,CSV,2020-10-13,파일
498,울산광역시 남구 공중위생업 현황,자치행정기관,"울산광역시 남구에 있는 미용업(미용실, 네일, 피부 등) 현황",CSV,2020-10-13,파일
499,인천광역시 의료기관 현황,자치행정기관,"인천광역시 소재의 병원에 대한 의료기관명, 소재지, 연락처, 진료과목의 정보를 제공합니다.",CSV,2020-10-13,파일
500,인천광역시 보건지소 및 보건진료소 인력 현황,자치행정기관,"인천광역시 군구별로 성별, 면허, 자격종별 등의 인력 현황 정보입니다.",CSV,2020-10-13,파일
501,인천광역시 건강보험대상자 진료실적 현황,자치행정기관,"인천광역시 진료형태별로 지급건수, 내원일수, 진료일수, 진료비 현황자료입니다.",CSV,2020-10-13,파일
502,전라북도 익산시 약국,자치행정기관,익산시 약국 현황,CSV,2020-10-13,파일
503,전라북도 익산시 치과기공소,자치행정기관,익산시 관내 치과기공소 현황,CSV,2020-10-13,파일
504,서울특별시 광진구 흡연구역정보,자치행정기관,"서울시 광진구 흡연시설 형태, 주소, 규모, 설치연도, 관리기관 정보",CSV,2020-10-12,파일
505,인천광역시 예방접종 현황,자치행정기관,"군구별 결핵, B형간염 디프테리아, 파상풍, 백일해 디프테리아, 파상풍, 소아마비, b형헤모필루스인플루엔자 폐렴구균, 홍역, 유행성이하선염, 풍진, 수두, A형간염, 일본뇌염, 사람유두종바이러스감염증, 인플루엔자, 장티푸스, 신증후군출혈열 등의 정보입니다.",CSV,2020-10-12,파일
506,인천광역시 방문건강관리사업실적 현황,자치행정기관,"인천광역시 군구별 등록가구수, 방문건수, 교육, 질병별 실적 자료입니다",CSV,2020-10-12,파일
507,인천광역시 결핵환자 현황,자치행정기관,"인천광역시 군구별 당해년도 신고된 결핵환자수_남, 당해년도 신고된 결핵환자수_여, 당해년도 신고된 신규 결핵환자수, 당해년도 신고된 재발 결핵환자수, 당해년도 신고된 실패후 재치료 결핵환자수, 당해년도 신고된 중단후 재치료 결핵환자수, 당해년도 신고된 이전치료결과 불명확한 재치료 결핵환자 수, 당해년도 신고된 과거치료결과 불명확한 결핵환자 수의 정보입니다.",CSV,2020-10-12,파일
508,인천광역시 의료기관 종사 의료인력 현황,자치행정기관,"시군구별의 일반의, 의사_인턴, 의사_레지던트, 의사_전문의, 치과의사, 한의사_일반의, 한의사_일반수련의, 한의사_전문수련의, 한의사_전문의, 간호사, 약사, 물리치료사, 작업치료사, 사회복지사로 의료기관에 종사하고 있는 의료인력 현황을 나타내는 데이터입니다.",CSV,2020-10-12,파일
509,인천광역시 자원봉사자 현황,자치행정기관,인천광역시 군구별 자원봉사자 수를 남여로 구분한 정보입니다.,CSV,2020-10-12,파일
510,인천광역시 보건소 구강보건사업실적 현황,자치행정기관,"인천광역시 군구별 구강보건교육, 흠메우기, 치면세마, 불소도포, 불소용액양치 등의 보건소 구강보건사업실적 정보입니다.",CSV,2020-10-12,파일
511,인천광역시 의료기관현황,자치행정기관,본데이터는 구별 종합병원 병원 치과병원 한방병원 일반 요양병원 정신병원 의료재활시설 의원 치과의원 한의원 조산원 등의 열을 나타내고 있다.,CSV,2020-10-12,파일
512,인천광역시 한센병 보건소 등록 현황,자치행정기관,"인천광역시 군구별 한센병 보건소 등록 현황(현황,성별,거주형태별,서비스제공)의 정보를 제공합니다.",CSV,2020-10-12,파일
513,인천광역시 수의사 현황,자치행정기관,"2017년 인천 광역시 수의사 현황입니다 군구별, 남, 여, 행정, 연구, 공수의, 개업수의, 학교, 단체 등의 정보를 제공 합니다.",CSV,2020-10-12,파일
514,인천광역시 외국인환자 유치 등록의료기관 현황,자치행정기관,"인천광역시_외국인환자 유치 등록의료기관 현황(의료기관명, 대표자, 소재지 등)정보를 제공합니다",CSV,2020-10-12,파일
515,보건복지부 혈액안전관리,국가행정기관,혈액안전감시 데이터 매독검사 결과 및 선별검사 결과입니다.,CSV,2020-10-12,파일
516,국민건강보험공단 22대 질병분류별 급여현황,공공기관,건강보험 22대 질병분류별 급여현황,CSV,2020-10-12,파일
517,국민건강보험공단 노인장기요양보험 인정현황,공공기관,장기요양 등급판정 결과 인정자 및 등급외자 현황,CSV,2020-10-12,파일
518,국민건강보험공단 건강iN 제공정보,공공기관,건강iN 콘텐츠별 이용현황,CSV,2020-10-12,파일
519,국민건강보험공단 복지용구 품목별 제품안내,공공기관,"품목명, 제품명, 제품코드, 제공방식, 제공가격, 업체명",CSV,2020-10-12,파일
520,국민건강보험공단 현금급여비(만성신부전증 복막관류액 및 소모성재료비) 지급현황,공공기관,현금급여비 중 만성신부전증 복막관류액 및 소모성재료 지급 현황,CSV,2020-10-12,파일
521,국민건강보험공단 현금급여(출산비) 지급현황,공공기관,요양기관이 아닌 곳에서 출산을 한 가입자에게 지급되는 출산비 현황,CSV,2020-10-12,파일
522,국민건강보험공단 현금급여비(장애구 보장구) 지급현황,공공기관,장애인보장구를 구입한 가입자에게 지급되는 현금급여,CSV,2020-10-12,파일
523,국민건강보험공단 현금급여비(산소치료) 지급현황,공공기관,가정산소 치료기를 대여한 가입자에게 지원되는 현금비용,CSV,2020-10-12,파일
524,국민건강보험공단 현금급여비(당뇨병환자소모성재료) 지급현황,공공기관,"당뇨병 환자(제1형, 제2형, 임신성당뇨) 가 구입한 소모성재료비 지급자료",CSV,2020-10-12,파일
525,인천광역시 외국인환자 유치업체 현황,자치행정기관,"인천광역시 외국인환자 유치업체 현황(상호, 주소)에 대한 정보를 제공합니다",CSV,2020-10-12,파일
